60449	9 Sep 16	13:50:00	1	0	0	0	0	0	1	6	9	17	8	16	10	14	10	8	8	18	12	30	18	14	19	17	11	8	9	10	7	18	26	16	21	19	8	12	12	15	20
60450	9 Sep 16	13:55:00	1	0	0	0	0	0	1	13	12	13	13	14	14	12	17	11	12	23	12	27	10	8	9	18	12	12	6	8	13	16	15	22	13	12	9	12	15	15	24
60451	9 Sep 16	14:00:00	1	0	0	0	0	0	1	11	15	17	16	10	15	8	12	8	13	16	7	18	19	8	9	9	13	6	7	9	12	16	13	18	9	14	5	6	12	21	18
60452	9 Sep 16	14:05:00	1	0	0	0	0	0	1	8	10	15	8	10	18	6	9	9	15	15	8	14	11	6	8	10	8	10	12	8	14	12	11	20	14	6	0	5	9	11	16
60453	9 Sep 16	14:10:00	1	0	0	0	0	0	1	11	16	11	9	13	14	4	8	10	15	14	1	16	14	7	11	7	8	10	11	12	13	12	16	12	11	10	0	2	7	13	16
60454	9 Sep 16	14:15:00	1	0	0	0	0	0	1	7	16	7	11	18	16	2	12	8	14	15	4	18	13	8	14	6	7	13	9	13	14	16	10	2	12	9	0	0	6	16	12
60455	9 Sep 16	14:20:00	1	0	0	0	0	0	1	7	13	6	4	13	17	4	7	14	15	1	0	6	14	3	11	10	11	13	11	8	9	13	22	4	16	5	0	0	11	9	10
60456	9 Sep 16	14:25:00	1	0	0	0	0	0	1	8	12	4	0	14	11	5	10	10	9	0	0	14	19	9	12	5	11	9	10	6	5	12	19	7	21	12	0	0	10	5	3
60457	9 Sep 16	14:30:00	1	0	0	0	0	0	1	1	49	0	0	19	7	2	12	9	6	0	0	5	15	5	18	0	8	8	7	5	0	11	17	2	7	9	0	0	5	0	0
60458	9 Sep 16	14:35:00	1	0	0	0	0	0	1	1	6	0	0	13	4	0	13	8	0	0	0	4	7	11	12	11	6	6	2	2	0	8	25	1	1	9	0	0	0	0	0
60459	9 Sep 16	14:40:00	1	0	0	0	0	0	1	1	7	0	0	16	8	6	8	6	0	0	0	8	10	6	6	5	6	17	9	2	0	14	5	8	0	2	0	0	0	0	0
60460	9 Sep 16	14:45:00	1	0	0	0	0	0	1	0	0	0	0	14	17	6	7	6	0	0	0	0	5	4	5	2	2	3	1	1	0	15	6	13	0	4	0	0	0	0	0
60461	9 Sep 16	14:50:00	1	0	0	0	0	0	1	1	0	0	0	5	1	0	12	7	0	4	0	6	4	2	1	0	0	1	0	1	0	7	1	6	5	6	0	0	0	0	0
60462	9 Sep 16	14:55:00	1	0	0	0	0	0	1	1	0	0	0	8	5	4	29	6	0	0	7	11	9	2	1	0	0	0	0	0	0	13	1	4	0	2	0	0	0	0	0
60463	9 Sep 16	15:00:00	1	0	0	0	0	0	1	0	0	0	0	5	4	3	8	14	0	4	0	0	1	3	0	6	0	0	0	0	0	2	1	4	2	0	0	0	0	0	0
